2026-06-12 14:29:15 | GET | / | 404
2026-06-12 14:29:17 | GET | / | 404
2026-06-12 14:29:45 | POST | /api/orders | 201
2026-06-12 14:55:02 | GET | / | 404
2026-06-12 14:55:46 | GET | /api/orders | 200
2026-06-12 14:56:00 | GET | /api/orders | 200
2026-06-12 14:56:14 | POST | /api/orders | 500
2026-06-12 15:01:25 | POST | /api/orders | 500
2026-06-12 15:01:56 | POST | /api/orders | 500
2026-06-12 15:05:51 | GET | / | 404
2026-06-12 15:07:11 | POST | /api/orders | 404
2026-06-12 15:07:24 | POST | /api/orders | 404
2026-06-12 15:18:46 | POST | /api/orders | 201
2026-06-12 15:18:56 | POST | /api/orders | 201
2026-06-12 15:26:10 | POST | /api/orders | 404
2026-06-12 15:27:43 | POST | /api/orders | 404
2026-06-12 15:29:22 | POST | /api/orders | 404
2026-06-12 15:29:40 | POST | /api/orders | 422
2026-06-12 15:35:49 | GET | /favicon.ico | 404
2026-06-12 16:10:49 | GET | / | 404
